"id","name","icon","url","path","depath","is_active","sort_no"
"1","版式管理","/static/images/icons/bsgl.png",,"版式管理","0","1","0"
"3","订单管理","/static/images/icons/ddgl.png",,"订单管理","0","1","0"
"4","版式库","/static/images/icons/bsgl/bsk.png","/home/pattern_library","版式管理/版式库","1","1","0"
"5","图片搜索","/static/images/icons/bsgl/tpss.png","/home/patter_library_search","版式管理/图库搜索","1","1","0"
"6","添加板式","/static/images/icons/bsgl/tjbs.png","/home/patter_library_add","版式管理/图库搜索","1","1","0"
"12","所有订单","/static/images/icons/ddgl/sydd.png","/home/order?name=所有订单","订单管理/订单列表","1","1","1"
"13","新建订单","/static/images/icons/ddgl/xjdd.png","/home/order/create","订单管理/新建订单","1","1","0"
"14","订单池","/static/images/icons/ddgl/ddc.png","/home/order?status=10&name=订单池","订单管理/订单池","1","1","2"
"15","待排产","/static/images/icons/ddgl/dpc.png","/home/order?status=20&name=待排产","订单管理/待排产","1","1","3"
"16","待生产","/static/images/icons/ddgl/dsc.png","/home/order?status=30&name=待生产","订单管理/待生产","1","1","4"
"17","生产中","/static/images/icons/ddgl/scz.png","/home/order?status=40&name=生产中","订单管理/生产中","1","1","5"
"18","待发货","/static/images/icons/ddgl/dfh.png","/home/order?status=50&name=待发货","订单管理/待发货","1","1","6"
"19","待签收","/static/images/icons/ddgl/dqs.png","/home/order?status=60&name=待签收","订单管理/待签收","1","1","7"
"20","已完成","/static/images/icons/ddgl/ywc.png","/home/order?status=70&name=已完成","订单管理/已完成","1","1","8"
"21","已取消","/static/images/icons/ddgl/yqx.png","/home/order?status=0&name=已取消","订单管理/已取消","1","1","9"
"22","客户信息","/static/images/icons/khgl.png","/home/client","客户信息","0","1","0"
"23","个人信息","/static/images/icons/grxx.png","/profile/info","个人信息","0","1","0"
"24","密码修改","/static/images/icons/mmxg.png","/profile/password","密码修改","0","1","0"
