"id","name","icon","url","new_tab","path","depath","is_active","sort_no"
"1","用户管理","fas fa-users-cog",,"0","用户管理","0","1","0"
"2","用户列表","fas fa-users","/admin/core_auth/user/","0","用户管理/用户列表","1","1","0"
"3","角色管理","fas fa-user-shield","/admin/auth/group/","0","用户管理/角色管理","1","1","1"
"4","员工管理","fas fa-user-tie",,"0","员工管理","0","1","1"
"5","员工列表","fas fa-id-badge","/admin/staff/staff/","0","员工管理/员工列表","1","1","0"
"6","票据管理","fas fa-receipt",,"0","票据管理","0","1","2"
"7","票据库","fas fa-archive","/admin/bill/bill/","0","票据管理/票据库","1","1","1"
"8","模板管理","fas fa-copy","/admin/bill/billtemplate/","0","票据管理/模板管理","1","1","0"
"9","菜单管理","fas fa-th-list",,"0","菜单管理","0","1","99"
"10","菜单列表","fas fa-list-ul","/admin/core_auth/simpleuimenus/","0","菜单管理/菜单列表","1","1","0"
"11","客户管理","fas fa-list",,"0","客户管理","0","1","0"
"12","客户列表","fas fa-list","/admin/client_mgmt/client/","0","客户管理/客户列表","1","1","0"
"13","工资管理","fa-solid fa-coins",,"0","工资管理","0","1","0"
"14","工资库","fa fa-list","/admin/staff/staffsalary/","0","工资管理/工资库","1","1","1"
"15","待审批","el-icon-s-check","/admin/staff/staffsalary/filter/?status=1&status=4","0","工资管理/待审批","1","1","2"
"16","待修正","el-icon-edit-outline","/admin/staff/staffsalary/filter/?status=3","0","工资管理/待修正","1","1","3"
"17","已拒绝","fa-solid fa-calendar-xmark","/admin/staff/staffsalary/filter/?status=5","0","工资管理/已拒绝","1","1","5"
"18","已取消","fa-solid fa-power-off","/admin/staff/staffsalary/filter/?status=6","0","工资管理/已取消","1","1","4"
"19","审核通过","fa-solid fa-clipboard-check","/admin/staff/staffsalary/filter/?status=2","0","工资管理/审核通过","1","1","6"
"20","快捷操作","el-icon-connection","/admin/staff/staffsalary/cards/","0","工资管理/快捷操作","1","1","0"
"21","支出发放","el-icon-money","/admin/staff/staffsalary/filter/?status=2&income_expense=2&is_release=0","0","工资管理/工资发放","1","1","7"
"22","订单管理","fas fa-list",,"0","订单管理","0","1","0"
"23","订单列表","fas fa-list","/admin/order/order/","0","订单管理/订单列表","1","1","1"
"24","订单项","fas fa-list","/admin/order/orderitem/","0","订单管理/订单项","1","1","1"
