"id","code","name"
"4005","110000","北京市"
"4006","120000","天津市"
"4007","130000","河北省"
"4008","140000","山西省"
"4009","150000","内蒙古自治区"
"4010","210000","辽宁省"
"4011","220000","吉林省"
"4012","230000","黑龙江省"
"4013","310000","上海市"
"4014","320000","江苏省"
"4015","330000","浙江省"
"4016","340000","安徽省"
"4017","350000","福建省"
"4018","360000","江西省"
"4019","370000","山东省"
"4020","410000","河南省"
"4021","420000","湖北省"
"4022","430000","湖南省"
"4023","440000","广东省"
"4024","450000","广西壮族自治区"
"4025","460000","海南省"
"4026","500000","重庆市"
"4027","510000","四川省"
"4028","520000","贵州省"
"4029","530000","云南省"
"4030","540000","西藏自治区"
"4031","610000","陕西省"
"4032","620000","甘肃省"
"4033","630000","青海省"
"4034","640000","宁夏回族自治区"
"4035","650000","新疆维吾尔自治区"
"4036","710000","台湾省"
"4037","810000","香港特别行政区"
"4038","820000","澳门特别行政区"
